Blink Count,Time start,Time end
1,5.144206,5.204297
2,6.947468,7.147831
3,27.725043,27.725043
4,28.00555,28.015537
5,28.957297,28.957297
6,29.758746,29.758746
7,29.798819,29.818799
8,31.872564,32.533743
9,37.522786,37.602931
10,42.521782,42.541874
11,52.509901,52.509901
12,54.052675,54.052675
13,54.072728,54.072728
14,54.152873,54.152873
15,55.375068,55.375068
16,55.595483,55.605508
17,66.324847,66.324847
18,66.515223,66.84579
19,72.926823,72.926823
20,75.100724,75.271081
21,83.425818,83.425818
22,83.505963,83.505963
23,85.108863,85.108863
24,86.872053,86.872053
25,87.513213,87.513213
26,87.673504,87.673504
27,87.903943,87.903943
28,88.104306,88.104306
29,88.184451,88.184451
30,88.224524,88.224524
31,88.344741,88.344741
32,88.384814,88.384814
33,88.545104,88.545104
34,88.625249,88.625249
35,88.705394,88.705394
36,88.785539,88.785539
37,88.865684,88.865684
38,88.945829,88.945829
39,89.025973,89.025973
40,89.106118,89.106118
41,89.186264,89.186264
42,89.266409,89.266409
43,89.346553,89.346553
44,89.426699,89.426699
45,89.496819,89.566897
46,91.350179,91.350179
47,91.370159,91.370159
48,91.410232,91.410232
49,91.430324,91.430324
50,91.450305,91.450305
51,91.470396,91.470396
52,91.490376,91.490376
53,91.510469,91.510469
54,91.53045,91.53045
55,91.570521,91.570521
56,91.590614,91.600609
57,91.620661,91.620661
58,91.640681,91.640681
59,91.660734,91.660734
60,91.680753,91.680753
61,91.700806,91.700806
62,91.720826,91.720826
63,91.740878,91.740878
64,91.760899,91.760899
65,91.780952,91.780952
66,91.800971,91.800971
67,91.821024,91.821024
68,91.841043,91.841043
69,91.861097,91.861097
70,91.881116,91.881116
71,91.901168,91.901168
72,91.921188,91.921188
73,91.941241,91.941241
74,91.96126,91.96126
75,91.981314,91.981314
76,92.001333,92.001333
77,92.021386,92.021386
78,92.041406,92.041406
79,92.061459,92.061459
80,92.081478,92.081478
81,92.141604,92.141604
82,92.221749,92.221749
83,92.241768,92.241768
84,92.301894,92.301894
85,92.321913,92.321913
86,92.341967,92.341967
87,92.402058,92.402058
88,92.44213,92.44213
89,92.482203,92.482203
90,92.502256,92.502256
91,92.542329,92.542329
92,92.562349,92.572334
93,92.602421,92.612407
94,92.632499,92.632499
95,92.65248,92.65248
96,92.732625,92.752717
97,92.782764,92.782764
98,92.802784,92.802784
99,92.842856,92.842856
100,92.862909,92.862909
101,92.943054,92.943054
102,92.963072,92.963072
103,93.714456,93.714456
104,93.734437,93.744504
105,93.764523,93.764523
106,93.994964,93.994964
107,94.014944,94.035036
108,94.095089,94.095089
109,94.115181,94.115181
110,94.235399,94.235399
111,94.275471,94.275471
112,94.355616,94.355616
113,94.395688,94.395688
114,94.435761,94.435761
115,94.515907,94.515907
116,94.636124,94.636124
117,94.676196,94.676196
118,94.796413,94.796413
119,94.876559,94.876559
120,95.237211,95.247205
121,98.372861,98.372861
122,98.573223,98.573223
123,98.823644,98.883809
124,100.176123,100.18611
125,100.216196,100.226182
126,100.256268,100.296341
127,100.396538,100.396538
128,100.416558,100.416558
129,100.436612,100.436612
130,100.476684,100.496703
131,100.516757,100.516757
132,100.556829,100.556829
133,100.616921,100.616921
134,100.636974,100.636974
135,100.656994,100.656994
136,100.697066,100.697066
137,100.737138,100.737138
138,100.757191,100.757191
139,100.77721,100.77721
140,100.877408,100.877408
141,100.917481,100.917481
142,100.957554,100.957554
143,100.977573,100.977573
144,100.997627,100.997627
145,101.017646,101.017646
146,101.077772,101.077772
147,101.117844,101.137863
148,101.197989,101.227995
149,101.278134,101.278134
150,101.298153,101.308139
151,101.338225,101.338225
152,101.358279,101.368304
153,101.388285,101.388285
154,101.408377,101.408377
155,101.448449,101.448449
156,101.468429,101.468429
157,101.488521,101.508501
158,101.528594,101.568666
159,101.588647,101.588647
160,101.628719,101.628719
161,101.849173,101.969391
162,102.149662,102.159729
163,102.209826,102.209826
164,102.229807,102.420182
165,102.891059,102.961179
166,109.472943,109.472943
167,110.043945,110.084017
168,110.264399,110.264399
169,110.284379,110.284379
170,110.434683,110.444669
171,111.67693,111.696984
172,111.717004,111.717004
173,111.797148,111.797148
174,111.827226,111.827226
175,111.907372,111.937419
176,114.992953,114.992953
177,116.826264,116.826264
178,117.247008,117.256995
179,117.44737,117.457356
180,118.038464,118.038464
181,118.078536,118.088531
182,118.679624,118.679624
183,118.749744,118.749744
184,118.960131,118.960131
185,119.000203,119.000203
186,119.821634,119.821634
187,119.85172,119.861707
188,119.891793,119.931866
189,120.002016,120.042089
190,120.092155,120.092155
191,120.152281,120.302504
192,123.117646,123.117646
193,124.640401,124.650427
194,124.840764,124.840764
195,124.900855,124.900855
196,126.042938,126.062958
197,126.203229,126.203229
198,126.233235,126.273307
199,126.293399,126.303393
200,126.363519,126.363519
201,126.383538,126.393524
202,126.563881,126.573906
203,127.104843,127.225061
204,130.390788,130.390788
205,130.591151,130.591151
206,130.911731,130.911731
207,131.112093,131.152165
208,132.955429,132.955429
209,133.235936,133.276007
210,134.798763,134.928966
211,135.099323,135.109349
212,135.179469,135.249547
213,136.381644,136.391669
214,136.632105,136.652085
215,136.672177,136.672177
216,136.692157,136.792394
217,136.812375,136.862514
218,137.112974,137.2131
219,137.984544,138.01455
220,138.224978,138.224978
221,138.265052,138.265052
222,138.345197,138.345197
223,138.385269,138.385269
224,138.505487,138.505487
225,138.545559,138.555584
226,138.585632,138.595657
227,139.156671,139.166666
228,139.637542,139.637542
229,139.998194,139.998194
230,140.138392,140.138392
231,140.709473,140.709473
232,140.789618,140.789618
233,141.050073,141.050073
234,141.080151,141.080151
235,143.374278,143.384265
236,144.065497,144.075564
237,144.416163,144.416163
